supplier,origin_port,destination_port,carrier,type,origin_country,destination_country
Hacienda Celia María C.A.,Puerto Bolivar,Philadelphia,Maersk,Ocean,Ecuador,United States
ASOGUABO,Guayaquil,Philadelphia,CMA,Ocean,Ecuador,United States
ASOGUABO,Puerto Bolivar,Philadelphia,Maersk,Ocean,Ecuador,United States
ASOGUABO,Puerto Bolivar,Philadelphia,Maersk,Ocean,Ecuador,United States
ASOGUABO,Puerto Bolivar,Philadelphia,Maersk,Ocean,Ecuador,United States
PRIECOR S.A.,Puerto Bolivar,Philadelphia,Maersk,Ocean,Ecuador,United States
Surgesa S.A.,Guayaquil,Philadelphia,CMA,Ocean,Ecuador,United States
Surgesa S.A.,Guayaquil,Philadelphia,COSCO Shipping,Ocean,Ecuador,United States
Marplantis Organic Sustainable Agriculture,Guayaquil,Philadelphia,CMA,Ocean,Ecuador,United States
Marplantis Organic Sustainable Agriculture,Guayaquil,Philadelphia,ONE,Ocean,Ecuador,United States
COQUIMBA,CORINTO,Philadelphia,Maersk,Ocean,Nicaragua,United States
COQUIMBA,Chinandega,Philadelphia,Maersk,Ocean,Nicaragua,United States
Coliman Pacific Corporation,Nogales,Calgary,TQL,Ground,United States,Canada
Coliman Pacific Corporation,Pharr,Toronto,Megacorp,Ground,United States,Canada
C.I. AGRICOLAS LAS FLORES S.A.S.,Santa Marta,Philadelphia,Seaboard,Ocean,Colombia,United States
C.I. AGRICOLAS LAS FLORES S.A.S.,Santa Marta,Philadelphia,Seaboard,Ocean,Colombia,United States
Coliman Pacific Corporation,Nogales,Calgary,TQL,Ground,United States,Canada
ASOGUABO,Guayaquil,Philadelphia,Seaboard,Ocean,Ecuador,United States
Marplantis Organic Sustainable Agriculture,Puerto Bolivar,Hueneme,Network,Ocean,Ecuador,United States
ASOGUABO,Guayaquil,Philadelphia,ZIM,Ocean,Ecuador,United States
Marplantis Organic Sustainable Agriculture,Guayaquil,Philadelphia,ZIM,Ocean,Ecuador,United States
APPBOSA,Paita,Philadelphia,Maersk,Ocean,Peru,United States
PRIECOR S.A.,Puerto Bolivar,Philadelphia,Maersk,Ocean,Ecuador,United States
ASOGUABO,Puerto Bolivar,Philadelphia,Maersk,Ocean,Ecuador,United States
Latbio S.A.,Puerto Bolivar,Philadelphia,Maersk,Ocean,Ecuador,United States
ASOGUABO,Puerto Bolivar,Philadelphia,Maersk,Ocean,Ecuador,United States
ASOGUABO,Guayaquil,Philadelphia,CMA,Ocean,Ecuador,United States
Latbio S.A.,Puerto Bolivar,Philadelphia,Maersk,Ocean,Ecuador,United States
Hacienda Celia María C.A.,Puerto Bolivar,Philadelphia,Maersk,Ocean,Ecuador,United States
Hacienda Celia María C.A.,Puerto Bolivar,Philadelphia,Maersk,Ocean,Ecuador,United States
Hacienda Celia María C.A.,Puerto Bolivar,Philadelphia,Maersk,Ocean,Ecuador,United States
Surgesa S.A.,Guayaquil,Philadelphia,CMA,Ocean,Ecuador,United States
Surgesa S.A.,Guayaquil,Philadelphia,Seaboard,Ocean,Ecuador,United States
Marplantis Organic Sustainable Agriculture,Guayaquil,Philadelphia,Seaboard,Ocean,Ecuador,United States
COQUIMBA,CORINTO,Philadelphia,Maersk,Ocean,Nicaragua,United States
COQUIMBA,Chinandega,Philadelphia,Maersk,Ocean,Nicaragua,United States
Coliman Pacific Corporation,Nogales,Calgary,CTX,Ground,United States,Canada
Coliman Pacific Corporation,Nogales,Seattle,Traffic Tech,Ground,United States,United States
C.I. AGRICOLAS LAS FLORES S.A.S.,Santa Marta,Philadelphia,Seaboard,Ocean,Colombia,United States
Marplantis Organic Sustainable Agriculture,Puerto Bolivar,Hueneme,Network,Ocean,Ecuador,United States
Marplantis Organic Sustainable Agriculture,Puerto Bolivar,Philadelphia,Maersk,Ocean,Ecuador,United States
Marplantis Organic Sustainable Agriculture,Puerto Bolivar,Philadelphia,Maersk,Ocean,Ecuador,United States
APPBOSA,Paita,Philadelphia,Maersk,Ocean,Peru,United States
Latbio S.A.,Puerto Bolivar,Philadelphia,Maersk,Ocean,Ecuador,United States
Latbio S.A.,Puerto Bolivar,Philadelphia,Maersk,Ocean,Ecuador,United States
ASOGUABO,Puerto Bolivar,Philadelphia,Maersk,Ocean,Ecuador,United States
ASOGUABO,Puerto Bolivar,Philadelphia,Maersk,Ocean,Ecuador,United States
ASOGUABO,Puerto Bolivar,Philadelphia,Maersk,Ocean,Ecuador,United States
ASOGUABO,Puerto Bolivar,Philadelphia,Maersk,Ocean,Ecuador,United States
PRIECOR S.A.,Puerto Bolivar,Philadelphia,Maersk,Ocean,Ecuador,United States
Marplantis Organic Sustainable Agriculture,Guayaquil,Philadelphia,Seaboard,Ocean,Ecuador,United States
Hacienda Celia María C.A.,Guayaquil,Philadelphia,Seaboard,Ocean,Ecuador,United States
Hacienda Celia María C.A.,Guayaquil,Philadelphia,Seaboard,Ocean,Ecuador,United States
ASOGUABO,Guayaquil,Philadelphia,Seaboard,Ocean,Ecuador,United States
ASOGUABO,Guayaquil,Philadelphia,Seaboard,Ocean,Ecuador,United States
Surgesa S.A.,Guayaquil,Philadelphia,Seaboard,Ocean,Ecuador,United States
Surgesa S.A.,Guayaquil,Philadelphia,Seaboard,Ocean,Ecuador,United States
Marplantis Organic Sustainable Agriculture,Guayaquil,Philadelphia,Seaboard,Ocean,Ecuador,United States
Marplantis Organic Sustainable Agriculture,Guayaquil,Philadelphia,Seaboard,Ocean,Ecuador,United States
COQUIMBA,CORINTO,Philadelphia,Maersk,Ocean,Nicaragua,United States
COQUIMBA,Chinandega,Philadelphia,Maersk,Ocean,Nicaragua,United States
Coliman Pacific Corporation,Nogales,Calgary,CTX,Ground,United States,Canada
C.I. AGRICOLAS LAS FLORES S.A.S.,Santa Marta,Philadelphia,Seaboard,Ocean,Colombia,United States
Marplantis Organic Sustainable Agriculture,Puerto Bolivar,Hueneme,Network,Ocean,Ecuador,United States
C.I. AGRICOLAS LAS FLORES S.A.S.,Santa Marta,Philadelphia,Maersk,Ocean,Colombia,United States
Latbio S.A.,Puerto Bolivar,Philadelphia,Maersk,Ocean,Ecuador,United States
ASOGUABO,Puerto Bolivar,Philadelphia,Maersk,Ocean,Ecuador,United States
ASOGUABO,Puerto Bolivar,Philadelphia,Maersk,Ocean,Ecuador,United States
ASOGUABO,Puerto Bolivar,Philadelphia,Maersk,Ocean,Ecuador,United States
Latbio S.A.,Puerto Bolivar,Philadelphia,Maersk,Ocean,Ecuador,United States
PRIECOR S.A.,Puerto Bolivar,Philadelphia,Maersk,Ocean,Ecuador,United States
COQUIMBA,Chinandega,Philadelphia,Maersk,Ocean,Nicaragua,United States
COQUIMBA,Chinandega,Philadelphia,Maersk,Ocean,Nicaragua,United States
Marplantis Organic Sustainable Agriculture,Guayaquil,Philadelphia,CMA,Ocean,Ecuador,United States
Hacienda Celia María C.A.,Guayaquil,Philadelphia,COSCO Shipping,Ocean,Ecuador,United States
Hacienda Celia María C.A.,Guayaquil,Philadelphia,ONE,Ocean,Ecuador,United States
ASOGUABO,Guayaquil,Philadelphia,CMA,Ocean,Ecuador,United States
ASOGUABO,Guayaquil,Philadelphia,CMA,Ocean,Ecuador,United States
ASOGUABO,Guayaquil,Philadelphia,ONE,Ocean,Ecuador,United States
Marplantis Organic Sustainable Agriculture,Guayaquil,Philadelphia,Seaboard,Ocean,Ecuador,United States
Surgesa S.A.,Guayaquil,Philadelphia,Seaboard,Ocean,Ecuador,United States
Surgesa S.A.,Guayaquil,Philadelphia,Seaboard,Ocean,Ecuador,United States
Coliman Pacific Corporation,Pharr,Toronto,Traffic Tech,Ground,United States,Canada
Coliman Pacific Corporation,Nogales,Seattle,Traffic Tech,Ground,United States,United States
Coliman Pacific Corporation,Nogales,Calgary,CTX,Ground,United States,Canada
C.I. AGRICOLAS LAS FLORES S.A.S.,Santa Marta,Philadelphia,Maersk,Ocean,Colombia,United States
Marplantis Organic Sustainable Agriculture,Guayaquil,Port Hueneme,Network,Ocean,Ecuador,United States
ASOGUABO,Guayaquil,Philadelphia,ZIM,Ocean,Ecuador,United States
ASOGUABO,Puerto Bolivar,Philadelphia,Maersk,Ocean,Ecuador,United States
ASOGUABO,Puerto Bolivar,Philadelphia,Maersk,Ocean,Ecuador,United States
ASOGUABO,Puerto Bolivar,Philadelphia,Maersk,Ocean,Ecuador,United States
Latbio S.A.,Puerto Bolivar,Philadelphia,Maersk,Ocean,Ecuador,United States
PRIECOR S.A.,Puerto Bolivar,Philadelphia,Maersk,Ocean,Ecuador,United States
COQUIMBA,CORINTO,Philadelphia,Maersk,Ocean,Nicaragua,United States
COQUIMBA,Chinandega,Philadelphia,Maersk,Ocean,Nicaragua,United States
ASOGUABO,Guayaquil,Philadelphia,ONE,Ocean,Ecuador,United States
ASOGUABO,Guayaquil,Philadelphia,ONE,Ocean,Ecuador,United States
ASOGUABO,Guayaquil,Philadelphia,CMA,Ocean,Ecuador,United States
Hacienda Celia María C.A.,Guayaquil,Philadelphia,ONE,Ocean,Ecuador,United States
Hacienda Celia María C.A.,Guayaquil,Philadelphia,ONE,Ocean,Ecuador,United States
Surgesa S.A.,Guayaquil,Philadelphia,Seaboard,Ocean,Ecuador,United States
Marplantis Organic Sustainable Agriculture,Guayaquil,Philadelphia,Seaboard,Ocean,Ecuador,United States
C.I. AGRICOLAS LAS FLORES S.A.S.,Santa Marta,Philadelphia,Seaboard,Ocean,Colombia,United States
C.I. AGRICOLAS LAS FLORES S.A.S.,Santa Marta,Philadelphia,Seaboard,Ocean,Colombia,United States
Coliman Pacific Corporation,Nogales,Seattle,RF Cargo,Ground,United States,United States
Marplantis Organic Sustainable Agriculture,Guayaquil,Philadelphia,ZIM,Ocean,Ecuador,United States
Marplantis Organic Sustainable Agriculture,Puerto Bolivar,Hueneme,Network,Ocean,Ecuador,United States
Hacienda Celia María C.A.,Puerto Bolivar,Philadelphia,Maersk,Ocean,Ecuador,United States
ASOGUABO,Puerto Bolivar,Philadelphia,Maersk,Ocean,Ecuador,United States
ASOGUABO,Puerto Bolivar,Philadelphia,Maersk,Ocean,Ecuador,United States
ASOGUABO,Puerto Bolivar,Philadelphia,Maersk,Ocean,Ecuador,United States
PRIECOR S.A.,Puerto Bolivar,Puerto Bolivar,Maersk,Ocean,Ecuador,Ecuador
COQUIMBA,CORINTO,Philadelphia,Maersk,Ocean,Nicaragua,United States
COQUIMBA,Chinandega,Philadelphia,Maersk,Ocean,Nicaragua,United States
Latbio S.A.,Puerto Bolivar,Philadelphia,Maersk,Ocean,Ecuador,United States
ASOGUABO,Guayaquil,Philadelphia,Seaboard,Ocean,Ecuador,United States
ASOGUABO,Guayaquil,Philadelphia,CMA,Ocean,Ecuador,United States
ASOGUABO,Guayaquil,Philadelphia,Seaboard,Ocean,Ecuador,United States
Surgesa S.A.,Guayaquil,Philadelphia,Seaboard,Ocean,Ecuador,United States
Surgesa S.A.,Guayaquil,Philadelphia,ONE,Ocean,Ecuador,United States
C.I. AGRICOLAS LAS FLORES S.A.S.,Santa Marta,Philadelphia,Seaboard,Ocean,Colombia,United States
C.I. AGRICOLAS LAS FLORES S.A.S.,Santa Marta,Philadelphia,Seaboard,Ocean,Colombia,United States
Coliman Pacific Corporation,Nogales,Calgary,CTX,Ground,United States,Canada
Coliman Pacific Corporation,Nogales,Seattle,RF Cargo,Ground,United States,United States
Latbio S.A.,Puerto Bolivar,Philadelphia,Maersk,Ocean,Ecuador,United States
ASOGUABO,Puerto Bolivar,Philadelphia,Maersk,Ocean,Ecuador,United States
Hacienda Celia María C.A.,Puerto Bolivar,Philadelphia,Maersk,Ocean,Ecuador,United States
ASOGUABO,Puerto Bolivar,Philadelphia,Maersk,Ocean,Ecuador,United States
ASOGUABO,Puerto Bolivar,Philadelphia,Maersk,Ocean,Ecuador,United States
ASOGUABO,Puerto Bolivar,Philadelphia,Maersk,Ocean,Ecuador,United States
PRIECOR S.A.,Puerto Bolivar,Philadelphia,Maersk,Ocean,Ecuador,United States
COQUIMBA,CORINTO,Philadelphia,Maersk,Ocean,Nicaragua,United States
COQUIMBA,Chinandega,Philadelphia,Maersk,Ocean,Nicaragua,United States
ASOGUABO,Guayaquil,Philadelphia,CMA,Ocean,Ecuador,United States
ASOGUABO,Guayaquil,Philadelphia,Seaboard,Ocean,Ecuador,United States
ASOGUABO,Guayaquil,Philadelphia,Seaboard,Ocean,Ecuador,United States
Surgesa S.A.,Guayaquil,Philadelphia,ONE,Ocean,Ecuador,United States
Surgesa S.A.,Guayaquil,Philadelphia,ONE,Ocean,Ecuador,United States
Marplantis Organic Sustainable Agriculture,Guayaquil,Philadelphia,CMA,Ocean,Ecuador,United States
Marplantis Organic Sustainable Agriculture,Guayaquil,Philadelphia,Seaboard,Ocean,Ecuador,United States
Coliman Pacific Corporation,Pharr,Toronto,Megacorp,Ground,United States,Canada
Coliman Pacific Corporation,Nogales,Calgary,CTX,Ground,United States,Canada
C.I. AGRICOLAS LAS FLORES S.A.S.,Santa Marta,Philadelphia,Seaboard,Ocean,Colombia,United States
C.I. AGRICOLAS LAS FLORES S.A.S.,Santa Marta,Philadelphia,Seaboard,Ocean,Colombia,United States
Marplantis Organic Sustainable Agriculture,Puerto Bolivar,Hueneme,Network,Ocean,Ecuador,United States
COQUIMBA,CORINTO,Philadelphia,Maersk,Ocean,Nicaragua,United States
Marplantis Organic Sustainable Agriculture,Guayaquil,Philadelphia,ZIM,Ocean,Ecuador,United States
COQUIMBA,Chinandega,Philadelphia,Maersk,Ocean,Nicaragua,United States
Latbio S.A.,Puerto Bolivar,Philadelphia,Maersk,Ocean,Ecuador,United States
ASOGUABO,Puerto Bolivar,Philadelphia,Maersk,Ocean,Ecuador,United States
ASOGUABO,Puerto Bolivar,Philadelphia,Maersk,Ocean,Ecuador,United States
APPBOSA,Puerto Bolivar,Philadelphia,Maersk,Ocean,Ecuador,United States
Hacienda Celia María C.A.,Puerto Bolivar,Philadelphia,Maersk,Ocean,Ecuador,United States
Hacienda Celia María C.A.,Puerto Bolivar,Philadelphia,Maersk,Ocean,Ecuador,United States
ASOGUABO,Puerto Bolivar,Philadelphia,Maersk,Ocean,Ecuador,United States
ASOGUABO,Puerto Bolivar,Philadelphia,Maersk,Ocean,Ecuador,United States
PRIECOR S.A.,Guayaquil,Philadelphia,CMA,Ocean,Ecuador,United States
ASOGUABO,Guayaquil,Philadelphia,CMA,Ocean,Ecuador,United States
ASOGUABO,Guayaquil,Philadelphia,CMA,Ocean,Ecuador,United States
ASOGUABO,Guayaquil,Philadelphia,CMA,Ocean,Ecuador,United States
Surgesa S.A.,Guayaquil,Philadelphia,CMA,Ocean,Ecuador,United States
Surgesa S.A.,Guayaquil,Philadelphia,CMA,Ocean,Ecuador,United States
Marplantis Organic Sustainable Agriculture,Guayaquil,Philadelphia,ONE,Ocean,Ecuador,United States
Coliman Pacific Corporation,Pharr,Toronto,Megacorp,Ground,United States,Canada
Coliman Pacific Corporation,Nogales,Calgary,CTX,Ground,United States,Canada
C.I. AGRICOLAS LAS FLORES S.A.S.,Santa Marta,Philadelphia,Seaboard,Ocean,Colombia,United States
Marplantis Organic Sustainable Agriculture,Puerto Bolivar,Hueneme,Network,Ocean,Ecuador,United States
COQUIMBA,CORINTO,Philadelphia,Maersk,Ocean,Nicaragua,United States
Marplantis Organic Sustainable Agriculture,Guayaquil,Philadelphia,ZIM,Ocean,Ecuador,United States
Latbio S.A.,Puerto Bolivar,Philadelphia,Maersk,Ocean,Ecuador,United States
ASOGUABO,Puerto Bolivar,Philadelphia,Maersk,Ocean,Ecuador,United States
Hacienda Celia María C.A.,Puerto Bolivar,Philadelphia,Maersk,Ocean,Ecuador,United States
ASOGUABO,Puerto Bolivar,Philadelphia,Maersk,Ocean,Ecuador,United States
ASOGUABO,Puerto Bolivar,Philadelphia,Maersk,Ocean,Ecuador,United States
ASOGUABO,Puerto Bolivar,Philadelphia,Maersk,Ocean,Ecuador,United States
PRIECOR S.A.,Puerto Bolivar,Philadelphia,Maersk,Ocean,Ecuador,United States
COQUIMBA,Chinandega,Philadelphia,Maersk,Ocean,Nicaragua,United States
Marplantis Organic Sustainable Agriculture,Guayaquil,Philadelphia,Seaboard,Ocean,Ecuador,United States
ASOGUABO,Guayaquil,Philadelphia,Seaboard,Ocean,Ecuador,United States
ASOGUABO,Guayaquil,Philadelphia,Seaboard,Ocean,Ecuador,United States
ASOGUABO,Guayaquil,Philadelphia,CMA,Ocean,Ecuador,United States
ASOGUABO,Guayaquil,Philadelphia,Seaboard,Ocean,Ecuador,United States
ASOGUABO,Guayaquil,Philadelphia,CMA,Ocean,Ecuador,United States
Surgesa S.A.,Guayaquil,Philadelphia,CMA,Ocean,Ecuador,United States
Hacienda Celia María C.A.,Guayaquil,Philadelphia,CMA,Ocean,Ecuador,United States
Surgesa S.A.,Guayaquil,Philadelphia,CMA,Ocean,Ecuador,United States
Marplantis Organic Sustainable Agriculture,Guayaquil,Philadelphia,ONE,Ocean,Ecuador,United States
Coliman Pacific Corporation,Nogales,Toronto,Megacorp,Ground,United States,Canada
C.I. AGRICOLAS LAS FLORES S.A.S.,Santa Marta,Philadelphia,Seaboard,Ocean,Colombia,United States
Marplantis Organic Sustainable Agriculture,Puerto Bolivar,Hueneme,Network,Ocean,Ecuador,United States
Marplantis Organic Sustainable Agriculture,Puerto Bolivar,Hueneme,Network,Ocean,Ecuador,United States
COQUIMBA,CORINTO,Philadelphia,Maersk,Ocean,Nicaragua,United States
Marplantis Organic Sustainable Agriculture,Guayaquil,Philadelphia,ZIM,Ocean,Ecuador,United States
ASOGUABO,Puerto Bolivar,Philadelphia,Maersk,Ocean,Ecuador,United States
ASOGUABO,Puerto Bolivar,Philadelphia,Maersk,Ocean,Ecuador,United States
ASOGUABO,Puerto Bolivar,Philadelphia,Maersk,Ocean,Ecuador,United States
ASOGUABO,Puerto Bolivar,Philadelphia,Maersk,Ocean,Ecuador,United States
ASOGUABO,Puerto Bolivar,Philadelphia,Maersk,Ocean,Ecuador,United States
ASOGUABO,Puerto Bolivar,Philadelphia,Maersk,Ocean,Ecuador,United States
Latbio S.A.,Puerto Bolivar,Philadelphia,Maersk,Ocean,Ecuador,United States
Latbio S.A.,Puerto Bolivar,Philadelphia,Maersk,Ocean,Ecuador,United States
PRIECOR S.A.,Puerto Bolivar,Philadelphia,Maersk,Ocean,Ecuador,United States
Hacienda Celia María C.A.,Puerto Bolivar,Philadelphia,Maersk,Ocean,Ecuador,United States
COQUIMBA,Chinandega,Philadelphia,Maersk,Ocean,Nicaragua,United States
ASOGUABO,Guayaquil,Philadelphia,CMA,Ocean,Ecuador,United States
ASOGUABO,Guayaquil,Philadelphia,CMA,Ocean,Ecuador,United States
ASOGUABO,Guayaquil,Philadelphia,Seaboard,Ocean,Ecuador,United States
Surgesa S.A.,Guayaquil,Philadelphia,CMA,Ocean,Ecuador,United States
Surgesa S.A.,Guayaquil,Philadelphia,ONE,Ocean,Ecuador,United States
Hacienda Celia María C.A.,Guayaquil,Philadelphia,ONE,Ocean,Ecuador,United States
C.I. AGRICOLAS LAS FLORES S.A.S.,Santa Marta,Philadelphia,Seaboard,Ocean,Colombia,United States
Coliman Pacific Corporation,Pharr,Toronto,Megacorp,Ground,United States,Canada
Marplantis Organic Sustainable Agriculture,Puerto Bolivar,Port Hueneme,Network,Ocean,Ecuador,United States
COQUIMBA,CORINTO,Philadelphia,Maersk,Ocean,Nicaragua,United States
Latbio S.A.,Puerto Bolivar,Philadelphia,Maersk,Ocean,Ecuador,United States
Latbio S.A.,Puerto Bolivar,Philadelphia,Maersk,Ocean,Ecuador,United States
Hacienda Celia María C.A.,Puerto Bolivar,Philadelphia,Maersk,Ocean,Ecuador,United States
ASOGUABO,Puerto Bolivar,Philadelphia,Maersk,Ocean,Ecuador,United States
ASOGUABO,Puerto Bolivar,Philadelphia,Maersk,Ocean,Ecuador,United States
ASOGUABO,Puerto Bolivar,Philadelphia,Maersk,Ocean,Ecuador,United States
ASOGUABO,Puerto Bolivar,Philadelphia,Maersk,Ocean,Ecuador,United States
ASOGUABO,Puerto Bolivar,Philadelphia,Maersk,Ocean,Ecuador,United States
ASOGUABO,Puerto Bolivar,Philadelphia,Maersk,Ocean,Ecuador,United States
PRIECOR S.A.,Puerto Bolivar,Philadelphia,Maersk,Ocean,Ecuador,United States
Coliman Pacific Corporation,Nogales,Seattle,Traffic Tech,Ground,United States,United States
Coliman Pacific Corporation,Pharr,Toronto,Megacorp,Ground,United States,Canada
COQUIMBA,Chinandega,Philadelphia,Maersk,Ocean,Nicaragua,United States
APPBOSA,Paita,Philadelphia,Maersk,Ocean,Peru,United States
ASOGUABO,Guayaquil,Philadelphia,CMA,Ocean,Ecuador,United States
ASOGUABO,Guayaquil,Philadelphia,Seaboard,Ocean,Ecuador,United States
Surgesa S.A.,Guayaquil,Philadelphia,CMA,Ocean,Ecuador,United States
Surgesa S.A.,Guayaquil,Philadelphia,COSCO Shipping,Ocean,Ecuador,United States
Marplantis Organic Sustainable Agriculture,Guayaquil,Philadelphia,CMA,Ocean,Ecuador,United States
Marplantis Organic Sustainable Agriculture,Guayaquil,Philadelphia,ONE,Ocean,Ecuador,United States
Marplantis Organic Sustainable Agriculture,Guayaquil,Philadelphia,ONE,Ocean,Ecuador,United States
C.I. AGRICOLAS LAS FLORES S.A.S.,Santa Marta,Philadelphia,Seaboard,Ocean,Colombia,United States
Marplantis Organic Sustainable Agriculture,Puerto Bolivar,Port Hueneme,Network,Ocean,Ecuador,United States
Marplantis Organic Sustainable Agriculture,Puerto Bolivar,Port Hueneme,Network,Ocean,Ecuador,United States
Marplantis Organic Sustainable Agriculture,Puerto Bolivar,Port Hueneme,Network,Ocean,Ecuador,United States
COQUIMBA,CORINTO,Philadelphia,Maersk,Ocean,Nicaragua,United States
ASOGUABO,Guayaquil,Philadelphia,ZIM,Ocean,Ecuador,United States
Marplantis Organic Sustainable Agriculture,Guayaquil,Philadelphia,ZIM,Ocean,Ecuador,United States
Latbio S.A.,Puerto Bolivar,Philadelphia,Maersk,Ocean,Ecuador,United States
Hacienda Celia María C.A.,Puerto Bolivar,Philadelphia,Maersk,Ocean,Ecuador,United States
PRIECOR S.A.,Puerto Bolivar,Philadelphia,Maersk,Ocean,Ecuador,United States
ASOGUABO,Puerto Bolivar,Philadelphia,Maersk,Ocean,Ecuador,United States
ASOGUABO,Puerto Bolivar,Philadelphia,Maersk,Ocean,Ecuador,United States
ASOGUABO,Puerto Bolivar,Philadelphia,Maersk,Ocean,Ecuador,United States
ASOGUABO,Puerto Bolivar,Philadelphia,Maersk,Ocean,Ecuador,United States
ASOGUABO,Puerto Bolivar,Philadelphia,Maersk,Ocean,Ecuador,United States
ASOGUABO,Puerto Bolivar,Philadelphia,Maersk,Ocean,Ecuador,United States
COQUIMBA,Chinandega,Philadelphia,Maersk,Ocean,Nicaragua,United States
ASOGUABO,Puerto Bolivar,Philadelphia,Maersk,Ocean,Ecuador,United States
Latbio S.A.,Guayaquil,Philadelphia,Seaboard,Ocean,Ecuador,United States
APPBOSA,Paita,Philadelphia,Maersk,Ocean,Peru,United States
Surgesa S.A.,Guayaquil,Philadelphia,Seaboard,Ocean,Ecuador,United States
Surgesa S.A.,Guayaquil,Philadelphia,CMA,Ocean,Ecuador,United States
Surgesa S.A.,Guayaquil,Philadelphia,CMA,Ocean,Ecuador,United States
Coliman Pacific Corporation,Pharr,Seattle,TQL,Ground,United States,United States
C.I. AGRICOLAS LAS FLORES S.A.S.,Santa Marta,Philadelphia,Seaboard,Ocean,Colombia,United States
Marplantis Organic Sustainable Agriculture,Puerto Bolivar,Hueneme,Network,Ocean,Ecuador,United States
Marplantis Organic Sustainable Agriculture,Puerto Bolivar,Hueneme,Network,Ocean,Ecuador,United States
COQUIMBA,CORINTO,Philadelphia,Maersk,Ocean,Nicaragua,United States
Marplantis Organic Sustainable Agriculture,Guayaquil,Philadelphia,ZIM,Ocean,Ecuador,United States
APPBOSA,Paita,Philadelphia,Maersk,Ocean,Peru,United States
Latbio S.A.,Puerto Bolivar,Philadelphia,Maersk,Ocean,Ecuador,United States
Latbio S.A.,Puerto Bolivar,Philadelphia,Maersk,Ocean,Ecuador,United States
Hacienda Celia María C.A.,Puerto Bolivar,Philadelphia,Maersk,Ocean,Ecuador,United States
ASOGUABO,Puerto Bolivar,Philadelphia,Maersk,Ocean,Ecuador,United States
ASOGUABO,Puerto Bolivar,Philadelphia,Maersk,Ocean,Ecuador,United States
ASOGUABO,Puerto Bolivar,Philadelphia,Maersk,Ocean,Ecuador,United States
ASOGUABO,Puerto Bolivar,Philadelphia,Maersk,Ocean,Ecuador,United States
ASOGUABO,Puerto Bolivar,Philadelphia,Maersk,Ocean,Ecuador,United States
ASOGUABO,Puerto Bolivar,Philadelphia,Maersk,Ocean,Ecuador,United States
ASOGUABO,Puerto Bolivar,Philadelphia,Maersk,Ocean,Ecuador,United States
PRIECOR S.A.,Puerto Bolivar,Philadelphia,Maersk,Ocean,Ecuador,United States
Surgesa S.A.,Guayaquil,Philadelphia,CMA,Ocean,Ecuador,United States
Surgesa S.A.,Guayaquil,Philadelphia,CMA,Ocean,Ecuador,United States
COQUIMBA,Chinandega,Philadelphia,Maersk,Ocean,Nicaragua,United States
Surgesa S.A.,Puerto Bolivar,Philadelphia,Maersk,Ocean,Ecuador,United States
Marplantis Organic Sustainable Agriculture,Guayaquil,Philadelphia,CMA,Ocean,Ecuador,United States
C.I. AGRICOLAS LAS FLORES S.A.S.,Santa Marta,Philadelphia,Seaboard,Ocean,Colombia,United States
Marplantis Organic Sustainable Agriculture,Puerto Bolivar,Hueneme,Network,Ocean,Ecuador,United States
Marplantis Organic Sustainable Agriculture,Puerto Bolivar,Hueneme,Network,Ocean,Ecuador,United States
Coliman Pacific Corporation,Nogales,Calgary,CTX,Ground,United States,Canada
COQUIMBA,CORINTO,Philadelphia,Maersk,Ocean,Nicaragua,United States
Marplantis Organic Sustainable Agriculture,Guayaquil,Philadelphia,ONE,Ocean,Ecuador,United States
APPBOSA,Paita,Philadelphia,Maersk,Ocean,Peru,United States
Latbio S.A.,Puerto Bolivar,Philadelphia,Maersk,Ocean,Ecuador,United States
Latbio S.A.,Puerto Bolivar,Philadelphia,Maersk,Ocean,Ecuador,United States
Hacienda Celia María C.A.,Puerto Bolivar,Philadelphia,Maersk,Ocean,Ecuador,United States
ASOGUABO,Puerto Bolivar,Philadelphia,Maersk,Ocean,Ecuador,United States
ASOGUABO,Puerto Bolivar,Philadelphia,Maersk,Ocean,Ecuador,United States
ASOGUABO,Puerto Bolivar,Philadelphia,Maersk,Ocean,Ecuador,United States
ASOGUABO,Puerto Bolivar,Philadelphia,Maersk,Ocean,Ecuador,United States
ASOGUABO,Puerto Bolivar,Philadelphia,Maersk,Ocean,Ecuador,United States
ASOGUABO,Puerto Bolivar,Philadelphia,Maersk,Ocean,Ecuador,United States
ASOGUABO,Puerto Bolivar,Philadelphia,Maersk,Ocean,Ecuador,United States
PRIECOR S.A.,Puerto Bolivar,Philadelphia,Maersk,Ocean,Ecuador,United States
Surgesa S.A.,Guayaquil,Philadelphia,CMA,Ocean,Ecuador,United States
Surgesa S.A.,Guayaquil,Philadelphia,CMA,Ocean,Ecuador,United States
Surgesa S.A.,Guayaquil,Philadelphia,CMA,Ocean,Ecuador,United States
Marplantis Organic Sustainable Agriculture,Guayaquil,Philadelphia,ONE,Ocean,Ecuador,United States
Marplantis Organic Sustainable Agriculture,Guayaquil,Philadelphia,ONE,Ocean,Ecuador,United States
COQUIMBA,Chinandega,Philadelphia,Maersk,Ocean,Nicaragua,United States
ASOGUABO,Guayaquil,Philadelphia,Seaboard,Ocean,Ecuador,United States
ASOGUABO,Guayaquil,Philadelphia,Seaboard,Ocean,Ecuador,United States
